LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AU,DE,GB-1,GB-2,GB-3,GB-4,JP,KR,MX,NZ
14.00,224,44.69,48.25,49.11,50.56,50.69,50.89,48.23,51.07,54.33,52.07,55.57,54.02,57.59,54.96,58.52,58.85,62.42,63.08,63.33,71.40,86.93,53.07,55.80,61.84,65.73,66.46,76.23,54.79,61.10,76.90
15.00,240,47.35,51.18,52.08,53.61,53.75,53.95,51.04,53.95,57.47,55.02,58.77,56.99,60.81,57.94,61.76,61.93,65.75,66.44,66.97,75.29,92.41,55.67,59.28,65.32,69.21,69.94,80.94,57.95,64.41,81.94
16.00,256,50.02,54.10,55.05,56.67,56.80,57.00,53.86,56.83,60.61,57.97,61.98,59.96,64.03,60.92,65.00,65.02,69.09,69.79,70.61,79.18,97.90,58.27,62.76,68.81,72.69,73.42,85.64,61.27,67.71,86.98
17.00,272,52.69,57.02,58.02,59.72,59.86,60.06,56.68,59.72,63.75,60.92,65.18,62.92,67.25,63.91,68.24,68.10,72.43,73.15,74.25,83.07,103.39,60.87,66.24,72.29,76.17,76.90,90.35,64.43,71.02,92.02
18.00,288,55.35,59.94,60.99,62.78,62.91,63.11,59.49,62.60,66.89,63.87,68.39,65.89,70.48,66.89,71.48,71.18,75.77,76.50,77.89,86.96,108.87,63.47,69.72,75.77,79.65,80.38,95.05,67.75,74.32,97.07
19.00,304,58.02,62.86,63.96,65.83,65.97,66.17,62.31,65.48,70.02,66.82,71.59,68.86,73.70,69.88,74.72,74.27,79.11,79.86,81.53,90.85,114.36,66.07,73.20,79.25,83.13,83.86,99.76,70.91,77.62,102.11
20.00,320,60.69,65.78,66.93,68.89,69.02,69.22,65.13,68.37,73.16,69.77,74.80,71.82,76.92,72.86,77.95,77.35,82.45,83.22,85.17,94.74,119.85,68.66,76.68,82.73,86.62,87.34,104.47,74.23,80.93,107.15
21.00,336,63.35,68.70,69.90,71.94,72.08,72.28,67.94,71.25,76.30,72.72,78.00,74.79,80.14,75.84,81.19,80.44,85.79,86.57,88.81,98.63,125.33,71.26,80.16,86.21,90.10,90.82,108.87,77.39,84.23,112.20
22.00,352,65.73,71.34,72.54,74.58,74.71,74.91,70.33,73.63,78.94,75.10,80.64,77.17,82.78,78.23,83.83,82.82,88.42,89.21,91.45,101.26,130.82,73.86,83.65,89.69,93.58,94.31,113.28,80.55,85.74,117.24
23.00,368,68.40,74.26,75.51,77.63,77.77,77.97,73.14,76.48,82.04,78.04,83.83,80.14,86.00,81.21,87.07,85.90,91.76,92.56,95.07,105.15,136.31,78.13,87.13,93.17,97.06,97.79,117.68,83.87,89.05,122.28
