LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AU,DE,GB-1,GB-2,GB-3,GB-4,JP,KR,MX,NZ
22.00,352,51.44,51.44,52.64,54.68,54.81,55.01,55.01,55.01,59.04,60.74,62.88,63.93,68.52,69.31,71.54,74.08,80.19,81.36,81.36,81.36,123.59,81.65,80.60,86.64,90.53,91.26,113.28,85.06,85.74,113.96
23.00,368,53.45,53.45,54.71,56.83,56.96,57.16,57.16,57.16,61.24,63.02,65.19,66.26,70.95,71.76,74.26,76.90,83.15,84.35,84.35,84.35,128.81,86.27,83.94,89.99,93.87,94.60,117.68,88.59,89.05,118.86
24.00,384,55.47,55.47,56.77,58.98,59.11,59.31,59.31,59.31,63.44,65.31,67.51,68.60,73.39,74.21,76.98,79.72,86.10,87.33,87.33,87.33,134.02,89.22,87.28,93.33,97.22,97.94,122.09,91.95,92.35,123.77
25.00,400,72.56,72.56,73.92,76.20,76.34,76.54,76.54,76.54,80.71,82.67,84.90,86.01,90.90,91.74,94.77,97.61,104.13,105.40,105.40,105.40,154.31,107.24,105.70,111.75,115.64,116.36,141.57,110.55,110.73,143.75
26.00,416,74.58,74.58,75.98,78.35,78.49,78.69,78.69,78.69,82.91,84.95,87.22,88.34,93.33,94.19,97.49,100.43,107.08,108.38,108.38,108.38,159.52,110.19,109.05,115.09,118.98,119.71,145.97,113.92,114.04,148.66
27.00,432,76.60,76.60,78.05,80.50,80.64,80.84,80.84,80.84,85.11,87.23,89.54,90.67,95.77,96.64,100.21,103.25,110.03,111.37,111.37,111.37,164.74,113.14,112.39,118.43,122.32,123.05,150.38,117.44,117.34,153.56
28.00,448,78.61,78.61,80.12,82.65,82.79,82.99,82.99,82.99,87.31,89.52,91.86,93.01,98.20,99.09,102.93,106.07,112.98,114.35,114.35,114.35,169.95,116.09,115.73,121.78,125.66,126.39,154.78,120.81,120.65,158.47
29.00,464,80.63,80.63,82.18,84.80,84.94,85.14,85.14,85.14,89.51,91.80,94.17,95.34,100.64,101.54,105.65,108.89,115.93,117.34,117.34,117.34,175.16,119.04,119.07,125.12,129.01,129.73,159.19,124.34,123.95,163.38
30.00,480,82.65,82.65,84.25,86.95,87.09,87.29,87.29,87.29,91.71,94.09,96.49,97.68,103.07,103.99,108.36,111.70,118.88,120.32,120.32,120.32,180.38,121.99,122.42,128.46,132.35,133.08,163.59,127.70,127.25,168.28
31.00,496,84.66,84.66,86.32,89.10,89.24,89.44,89.44,89.44,93.91,96.37,98.81,100.01,105.50,106.44,111.08,114.52,121.84,123.31,123.31,123.31,185.59,124.94,125.76,131.81,135.69,136.42,168.00,131.23,130.56,173.19
32.00,512,86.68,86.68,88.38,91.25,91.39,91.59,91.59,91.59,96.11,98.65,101.12,102.34,107.94,108.89,113.80,117.34,124.79,126.29,126.29,126.29,190.80,127.89,129.10,135.15,139.03,139.76,172.40,134.59,132.07,178.09
33.00,528,88.41,88.41,90.12,92.99,93.12,93.32,93.32,93.32,97.85,100.39,102.86,104.08,109.67,110.62,115.53,119.07,126.52,128.02,128.02,128.02,196.01,130.83,132.44,138.49,142.38,143.10,176.81,137.96,135.37,183.00
34.00,544,90.43,90.43,92.18,95.14,95.27,95.47,95.47,95.47,100.05,102.67,105.17,106.41,112.10,113.07,118.25,121.89,129.47,131.01,131.01,131.01,201.23,133.78,135.79,141.83,145.72,146.45,181.21,141.48,138.68,187.91
35.00,560,92.44,92.44,94.25,97.29,97.42,97.62,97.62,97.62,102.25,104.95,107.49,108.74,114.54,115.52,120.97,124.71,132.42,133.99,133.99,133.99,206.44,136.73,139.13,145.18,149.06,149.79,185.62,144.85,141.98,192.81
36.00,576,94.46,94.46,96.31,99.44,99.57,99.77,99.77,99.77,104.45,107.24,109.81,111.08,116.97,117.97,123.69,127.53,135.38,136.98,136.98,136.98,211.65,139.68,142.47,148.52,152.40,153.13,190.02,148.37,145.28,197.72
37.00,592,96.48,96.48,98.38,101.59,101.72,101.92,101.92,101.92,106.65,109.52,112.13,113.41,119.41,120.42,126.40,130.34,138.33,139.96,139.96,139.96,216.87,142.63,145.81,151.86,155.75,156.47,194.43,151.74,148.59,202.63
38.00,608,98.49,98.49,100.45,103.74,103.87,104.07,104.07,104.07,108.85,111.80,114.44,115.74,121.84,122.88,129.12,133.16,141.28,142.95,142.95,142.95,222.08,145.58,149.16,155.20,159.09,159.82,198.83,155.26,151.89,207.53
39.00,624,100.51,100.51,102.51,105.89,106.02,106.22,106.22,106.22,111.05,114.09,116.76,118.08,124.27,125.33,131.84,135.98,144.23,145.93,145.93,145.93,227.29,148.53,152.50,158.55,162.43,163.16,203.24,158.63,155.20,212.44
