LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20
0.75,12,10.61,10.61,11.32,11.45,11.69,11.97,11.97,11.97,13.66,14.24,19.72,21.48,25.48,26.18,20.18,22.15,26.10,26.79,26.79,26.79
0.81,13,10.73,10.73,11.44,11.58,11.81,12.09,12.09,12.09,13.79,14.36,19.84,21.60,25.61,26.30,20.30,22.27,26.22,26.91,26.91,26.91
0.88,14,10.84,10.84,11.55,11.69,11.93,12.20,12.20,12.20,13.90,14.47,19.96,21.71,25.72,26.41,20.41,22.38,26.33,27.02,27.02,27.02
0.94,15,10.96,10.96,11.67,11.81,12.05,12.32,12.32,12.32,14.02,14.59,20.08,21.84,25.84,26.53,20.53,22.51,26.45,27.14,27.14,27.14
1.00,16,11.16,11.16,11.87,12.01,12.25,12.52,12.52,12.52,14.22,14.79,20.28,22.03,26.04,26.73,20.73,22.71,26.65,27.34,27.34,27.34
1.06,17,11.27,11.27,11.98,12.12,12.36,12.64,12.64,12.64,14.33,14.90,20.39,22.15,26.15,26.84,20.84,22.82,26.76,27.45,27.45,27.45
1.13,18,11.40,11.40,12.11,12.24,12.48,12.76,12.76,12.76,14.45,15.03,20.51,22.27,26.27,26.97,20.97,22.94,26.89,27.58,27.58,27.58
1.19,19,11.51,11.51,12.22,12.36,12.59,12.87,12.87,12.87,14.57,15.14,20.62,22.38,26.39,27.08,21.08,23.05,27.00,27.69,27.69,27.69
1.25,20,11.63,11.63,12.34,12.48,12.72,12.99,12.99,12.99,14.69,15.26,20.75,22.50,26.51,27.20,21.20,23.17,27.12,27.81,27.81,27.81
1.31,21,11.74,11.74,12.45,12.59,12.83,13.10,13.10,13.10,14.80,15.37,20.86,22.61,26.62,27.31,21.31,23.29,27.23,27.92,27.92,27.92
1.38,22,11.86,11.86,12.57,12.71,12.95,13.23,13.23,13.23,14.92,15.49,20.98,22.74,26.74,27.43,21.43,23.41,27.35,28.05,28.05,28.05
